query_id,gt_query,gt_answer,transformed_query,difficulty_level,original_category,transformed_query_difficulty,transformed_query_strategy,case_no,court,date,subcategory,reference_rules,cosine_similarity,cosine_distance,euclidean_distance,manhattan_distance,length_difference,word_count_difference
difficulty_1_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,"동업자가 채권의 준점유자에 해당하지 않는 경우, 변제의 효력에 어떤 영향을 미칠 수 있는가?",1,민사,INTERMEDIATE,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.5083986925311574,0.49160130746884256,0.0,0.0,0,0
difficulty_2_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,동업자가 채권의 준점유자로 인정되지 않는 경우는 어떤 상황인가요?,2,민사,INTERMEDIATE,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.0,1.0,0.0,0.0,0,0
difficulty_3_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,동업자가 채권의 준점유자로 인정되지 않는 이유는 무엇인가요?,3,민사,INTERMEDIATE,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.2369283479134083,0.7630716520865917,0.0,0.0,0,0
difficulty_4_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,동업자가 채권의 준점유자에 해당하지 않는 이유는 무엇인가요?,4,민사,ADVANCED,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.0,1.0,0.0,0.0,0,0
difficulty_5_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,"동업자가 채권의 준점유자로 인정되지 않는 경우, 변제의 효력에 어떤 영향을 미칠 수 있는가?",5,민사,ADVANCED,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.24393996962361136,0.7560600303763887,0.0,0.0,0,0
difficulty_6_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,"동업자가 채권의 준점유자에 해당하지 않는 경우, 변제의 효력은 어떻게 판단될 수 있을까요?",6,민사,INTERMEDIATE,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.0,1.0,0.0,0.0,0,0
difficulty_7_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,동업자가 채권의 준점유자에 해당하지 않는 이유는 무엇인가요?,7,민사,INTERMEDIATE,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.5374006154651083,0.4625993845348917,0.0,0.0,0,0
difficulty_8_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,왜 피고는 원고에게 채권변제의 수령권한이 있는지 확인해야 했을까요?,8,민사,INTRODUCTORY,사실관계 이해,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.0,1.0,0.0,0.0,0,0
difficulty_9_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,왜 친구가 대신 돈을 받을 수 없었을까요?,9,민사,INTRODUCTORY,사실관계 이해,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.24133534874282525,0.7586646512571747,0.0,0.0,0,0
difficulty_10_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,"사람들이 함께 일을 할 때, 서로의 역할을 잘 알아야 할까요?",10,민사,INTRODUCTORY,사실관계 이해,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.0,1.0,0.0,0.0,0,0
difficulty_1_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,"토지 교환 계약 체결 후, 교환목적 토지에 대한 소유권이 계약 당사자의 처 앞으로 이전된 경우, 소유권이전등기의무가 이행불능으로 확정되었다고 볼 수 있는가?",1,민사,ADVANCED,법리 해석,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.47345212754044697,0.526547872459553,0.0,0.0,0,0
difficulty_2_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,"토지 교환 계약 후, 교환 대상 토지의 소유권이 계약 당사자의 배우자 앞으로 이전된 경우, 소유권 이전 의무가 이행불능으로 간주될 수 있는가?",2,민사,ADVANCED,법리 해석,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.0,1.0,0.0,0.0,0,0
