query_id,gt_query,gt_answer,transformed_query,difficulty_level,original_category,transformed_query_difficulty,transformed_query_strategy,case_no,court,date,subcategory,reference_rules,cosine_similarity,cosine_distance,euclidean_similarity,euclidean_distance,manhattan_similarity,manhattan_distance,dot_product,l2_norm_similarity,l2_norm_distance,length_difference,word_count_difference
difficulty_1_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,"동업자가 채권의 준점유자에 해당하지 않는 경우, 변제의 효력에 어떤 영향을 미칠 수 있는가?",1,민사,INTERMEDIATE,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.8641444714522116,0.13585552854778837,0.6573869637789473,0.5211740650461993,0.03655927795412094,26.352837800979614,0.8638621632945558,0.6573869637789473,0.5211740650461993,16,4
difficulty_2_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,동업자가 채권의 준점유자로 인정되지 않는 경우는 어떤 상황인가요?,2,민사,INTERMEDIATE,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.8912430507500255,0.10875694924997448,0.6819084274632895,0.46647256394823616,0.04052556280071672,23.675783157348633,0.8915815740737898,0.6819084274632895,0.46647256394823616,1,1
difficulty_3_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,동업자가 채권의 준점유자로 인정되지 않는 이유는 무엇인가요?,3,민사,INTERMEDIATE,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.8914385597734437,0.10856144022655634,0.6821087400016956,0.4660419099710026,0.04041268857101896,23.744703590869904,0.8917344928935265,0.6821087400016956,0.4660419099710026,2,2
difficulty_4_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,동업자가 채권의 준점유자에 해당하지 않는 이유는 무엇인가요?,4,민사,ADVANCED,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.9416782380250013,0.05832176197499872,0.7454377703986035,0.34149360243079185,0.0547520610114624,17.26415264606476,0.9414707805428222,0.7454377703986035,0.34149360243079185,2,2
difficulty_5_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,"동업자가 채권의 준점유자로 인정되지 않는 경우, 변제의 효력에 어떤 영향을 미칠 수 있는가?",5,민사,ADVANCED,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.8267615144822744,0.17323848551772558,0.6295005190121226,0.5885610413305198,0.032477280134335006,29.79075574874878,0.8265875107136083,0.6295005190121226,0.5885610413305198,16,4
difficulty_6_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,"동업자가 채권의 준점유자에 해당하지 않는 경우, 변제의 효력은 어떻게 판단될 수 있을까요?",6,민사,INTERMEDIATE,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.8877536031356226,0.11224639686437743,0.6785503430469381,0.47373000433488255,0.039991009825905595,24.00562012195587,0.8874657577349225,0.6785503430469381,0.47373000433488255,15,3
difficulty_7_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,동업자가 채권의 준점유자에 해당하지 않는 이유는 무엇인가요?,7,민사,INTERMEDIATE,법리 해석,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.941648029490282,0.058351970509717965,0.7453393142690177,0.34167080798728255,0.05473084894645239,17.271231293678284,0.941929766936731,0.7453393142690177,0.34167080798728255,2,2
difficulty_8_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,왜 피고는 원고에게 채권변제의 수령권한이 있는지 확인해야 했을까요?,8,민사,INTRODUCTORY,사실관계 이해,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.5060643665882816,0.4939356334117184,0.5015229859741207,0.9939265556446526,0.019576074725646687,50.082763731479645,0.506073962132433,0.5015229859741207,0.9939265556446526,2,1
difficulty_9_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,왜 친구가 대신 돈을 받을 수 없었을까요?,9,민사,INTRODUCTORY,사실관계 이해,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.4000674055206313,0.5999325944793688,0.4772602859165218,1.0952927144977473,0.01786095102981626,54.98806011676788,0.40000102337097587,0.4772602859165218,1.0952927144977473,12,2
difficulty_10_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,원본 답변 정보 없음,"사람들이 함께 일을 할 때, 서로의 역할을 잘 알아야 할까요?",10,민사,INTRODUCTORY,사실관계 이해,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,0.342494485058646,0.657505514941354,0.4657950482567749,1.1468669616443377,0.01706965613119356,57.583488285541534,0.34257073277331074,0.4657950482567749,1.1468669616443377,1,1
difficulty_1_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,"토지 교환 계약 체결 후, 교환목적 토지에 대한 소유권이 계약 당사자의 처 앞으로 이전된 경우, 소유권이전등기의무가 이행불능으로 확정되었다고 볼 수 있는가?",1,민사,ADVANCED,법리 해석,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.9354066869667382,0.06459331303326177,0.7355731898030151,0.3594840239729208,0.052202599448133186,18.1561341881752,0.9357110068808154,0.7355731898030151,0.3594840239729208,1,3
difficulty_2_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,"토지 교환 계약 후, 교환 대상 토지의 소유권이 계약 당사자의 배우자 앞으로 이전된 경우, 소유권 이전 의무가 이행불능으로 간주될 수 있는가?",2,민사,ADVANCED,법리 해석,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.8354690744992671,0.1645309255007329,0.6354307392442297,0.5737356382685906,0.0334568563498163,28.889239728450775,0.8357499578900445,0.6354307392442297,0.5737356382685906,9,3
difficulty_3_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,"토지 교환 계약 후, 제3자에게 소유권이전등기가 된 경우, 계약 당사자가 소유권을 회복할 수 있는 특별한 사정이 있다면 소유권이전등기의무가 이행불능으로 볼 수 있을까요?",3,민사,INTERMEDIATE,법리 해석,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.8498097398499443,0.15019026015005565,0.6459283366994173,0.5481593594574717,0.034994424940714704,27.575980365276337,0.8500871488804194,0.6459283366994173,0.5481593594574717,6,4
difficulty_4_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,"토지 교환 계약을 했는데, 피고의 토지가 제3자에게 넘어갔다면, 피고는 여전히 원고에게 소유권을 넘겨줄 수 있을까요?",4,민사,INTERMEDIATE,법리 해석,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.6354464082025054,0.3645535917974946,0.5393695241079017,0.8540165050184564,0.022674215804360957,43.10295855998993,0.6356528747363228,0.5393695241079017,0.8540165050184564,23,3
difficulty_5_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,"토지 교환 계약 후, 교환목적 토지에 대한 소유권이 제3자에게 이전된 경우, 계약 당사자의 처가 소유권을 회복할 수 있는 특별한 사정이 존재한다면, 소유권이전등기의무가 이행불능으로 확정될 수 있는가?",5,민사,EXPERT,법리 해석,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.8718140270861064,0.12818597291389355,0.6638300574385042,0.5064096432431244,0.03765197640729749,25.559030771255493,0.8720816266159801,0.6638300574385042,0.5064096432431244,23,8
difficulty_6_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,"토지 교환 계약 후, 교환목적 토지의 소유권이 계약 당사자의 처 앞으로 이전된 경우, 소유권이전등기의무가 이행불능으로 확정될 수 있는가?",6,민사,ADVANCED,법리 해석,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.9343760778527708,0.06562392214722923,0.7340320720492948,0.3623382929415704,0.051471078921288556,18.428386211395264,0.9346687416818611,0.7340320720492948,0.3623382929415704,12,0
difficulty_7_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,"토지 교환 계약을 체결한 후, 교환할 토지의 소유권이 제3자에게 넘어갔을 때, 이 계약이 더 이상 유효하지 않다고 볼 수 있을까요?",7,민사,INTERMEDIATE,법리 해석,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.7044182248239388,0.2955817751760612,0.565295338402707,0.7689868146190456,0.025015172475194355,38.975738763809204,0.7046292267663006,0.565295338402707,0.7689868146190456,15,2
difficulty_8_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,"토지를 교환하기로 약속했는데, 나중에 그 토지가 다른 사람에게 넘어갔다면, 그 약속은 어떻게 되는 걸까요?",8,민사,INTRODUCTORY,사실관계 이해,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.6004774570263639,0.3995225429736361,0.5279752476827592,0.8940281848229048,0.021547267180787748,45.409597635269165,0.6006587305537039,0.5279752476827592,0.8940281848229048,29,4
difficulty_9_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,왜 어떤 사람은 다른 사람과 땅을 바꾸기로 했을까요?,9,민사,INTRODUCTORY,사실관계 이해,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.3955850973662181,0.604414902633782,0.476308309168621,1.0994804851199513,0.01777219664095444,55.26766461133957,0.39559410703364506,0.476308309168621,1.0994804851199513,59,10
difficulty_10_doc_1,토지의 교환계약 후 교환목적토지에 관하여 계약당사자의 처 앞으로 소유권이전등기가 된 경우 교환계약에 따른 소유권이전등기의무가 이행불능으로 되었다고 볼 것인가?,원본 답변 정보 없음,"피고의 처가 제3자 소유의 토지에 대한 소유권을 회복할 수 있는 특별한 사정이 있을 때, 피고의 소유권이전등기의무는 이행불능인가요?",10,민사,ADVANCED,법리 해석,91다34394,대법원,1992-10-13,건물철거,민법 제390조,0.7082646352076972,0.2917353647923028,0.5669388209863266,0.7638587498034781,0.025253021344291707,38.59922206401825,0.7082761182197999,0.5669388209863266,0.7638587498034781,15,1
difficulty_1_doc_2,부동산의 실질적 매수인이 따로 있음을 알면서 그 명의상의 매수인에 대한 채권확보를 위하여 그로부터 부동산을 양수하였다면 그 양수경위 등에 비추어 그의 배임행위에 적극 가담한 것으로서 반사회질서의 법률행위에 해당한다고 볼 수 있는가?,원본 답변 정보 없음,"부동산 거래에서 실질적 매수인과 명의상의 매수인이 다를 경우, 명의상의 매수인으로부터 부동산을 양수받는 행위가 배임행위에 해당할 수 있는지, 그리고 이러한 행위가 반사회질서의 법률행위로 간주될 수 있는 법적 근거는 무엇인가?",1,민사,ADVANCED,법리 해석,91다28740,대법원,1991-11-22,토지소유권이전등기말소,민법 제103조,0.8050824850130238,0.19491751498697618,0.6155914797926828,0.6244539322356724,0.030724534944358232,31.54727864265442,0.8053047217576221,0.6155914797926828,0.6244539322356724,4,2
difficulty_2_doc_2,부동산의 실질적 매수인이 따로 있음을 알면서 그 명의상의 매수인에 대한 채권확보를 위하여 그로부터 부동산을 양수하였다면 그 양수경위 등에 비추어 그의 배임행위에 적극 가담한 것으로서 반사회질서의 법률행위에 해당한다고 볼 수 있는가?,원본 답변 정보 없음,"부동산 거래에서 실질적 매수인과 명의상의 매수인이 다를 경우, 명의상의 매수인으로부터 부동산을 양수받는 행위가 법적으로 문제가 될 수 있는 이유는 무엇인가요?",2,민사,INTERMEDIATE,법리 해석,91다28740,대법원,1991-11-22,토지소유권이전등기말소,민법 제103조,0.6794657667651318,0.3205342332348682,0.5553201190733728,0.8007631376090539,0.02424018764902992,40.25380605459213,0.6796279753389882,0.5553201190733728,0.8007631376090539,41,10
difficulty_3_doc_2,부동산의 실질적 매수인이 따로 있음을 알면서 그 명의상의 매수인에 대한 채권확보를 위하여 그로부터 부동산을 양수하였다면 그 양수경위 등에 비추어 그의 배임행위에 적극 가담한 것으로서 반사회질서의 법률행위에 해당한다고 볼 수 있는가?,원본 답변 정보 없음,"부동산 거래에서 실질적 매수인이 따로 있는 상황에서, 명의상의 매수인으로부터 부동산을 양수받는 것이 법적으로 문제가 될 수 있는 이유는 무엇인가요?",3,민사,INTERMEDIATE,법리 해석,91다28740,대법원,1991-11-22,토지소유권이전등기말소,민법 제103조,0.694098675793817,0.305901324206183,0.5610779879246713,0.7822834285458674,0.02472166095582825,39.45035654306412,0.6942854596724573,0.5610779879246713,0.7822834285458674,47,11
difficulty_4_doc_2,부동산의 실질적 매수인이 따로 있음을 알면서 그 명의상의 매수인에 대한 채권확보를 위하여 그로부터 부동산을 양수하였다면 그 양수경위 등에 비추어 그의 배임행위에 적극 가담한 것으로서 반사회질서의 법률행위에 해당한다고 볼 수 있는가?,원본 답변 정보 없음,"부동산 거래에서 실질적 매수인과 명의상의 매수인이 다를 때, 명의상의 매수인으로부터 부동산을 양수받는 것이 왜 문제가 될 수 있나요?",4,민사,INTERMEDIATE,법리 해석,91다28740,대법원,1991-11-22,토지소유권이전등기말소,민법 제103조,0.6560525239107646,0.34394747608923537,0.5465957011778037,0.8295057898282064,0.023289498389115412,41.93780755996704,0.6562287949232086,0.5465957011778037,0.8295057898282064,55,12
