query_id,gt_query,transformed_query,gt_answer,difficulty_level,original_category,transformed_query_difficulty,transformed_query_strategy,transformed_query_reasoning,case_no,court,date,subcategory,reference_rules,gt_query_length,transformed_query_length,gt_query_word_count,transformed_query_word_count,length_difference,word_count_difference,length_ratio,cosine_similarity,cosine_distance,euclidean_similarity,euclidean_distance,manhattan_similarity,manhattan_distance,dot_product,l2_norm_similarity,l2_norm_distance,angle_radians,angle_degrees,angle_similarity
difficulty_1_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,"동업자가 채권의 준점유자에 해당하지 않는 경우, 변제의 효력에 어떤 영향을 미칠 수 있는가?",원본 답변 정보 없음,1,민사,INTERMEDIATE,법리 해석,"이 질문은 동업자가 채권의 준점유자로 인정되지 않을 때, 변제의 효력에 미치는 영향을 이해하는 데 중점을 둡니다. 특히, 표현수령권자와 채권의 준점유자 개념을 통해 변제의 효력에 대한 법적 해석을 학습할 수 있습니다.",80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,35,51,9,13,16,4,1.457142857142857,0.8639983692109319,0.13600163078906813,0.6572282698583686,0.5215413667697193,0.036533012414864854,26.372503221035004,0.8640051529746557,0.6572282698583686,0.5215413667697193,0.5276387212142797,30.23147183325808,0.8320473787041218
difficulty_2_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,동업자가 채권의 준점유자로 인정되지 않는 경우는 어떤 상황인가요?,원본 답변 정보 없음,2,민사,INTERMEDIATE,법리 해석,"이 질문은 동업자가 채권의 준점유자로 인정되지 않는 법적 기준과 상황을 이해하는 데 목적이 있습니다. 특히, 동업 관계에 있는 자가 채권의 준점유자로 인정되기 위해 필요한 요건과, 이를 판단하는 기준을 학습할 수 있습니다.",80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,35,36,9,8,1,1,1.0285714285714285,0.8913147414948006,0.10868525850519939,0.6820204820396449,0.4662316254922551,0.040546233311275146,23.663203418254852,0.8913205295588185,0.6820204820396449,0.4662316254922551,0.47055953813249274,26.961075544617156,0.8502162469743492
difficulty_3_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,동업자가 채권의 준점유자로 인정되지 않는 이유는 무엇인가요?,원본 답변 정보 없음,3,민사,INTERMEDIATE,법리 해석,"이 질문은 동업자가 채권의 준점유자로 인정되지 않는 이유를 이해하는 데 중점을 둡니다. 이를 통해 동업 관계와 채권의 준점유자 개념을 구분하고, 법적 책임의 범위를 명확히 할 수 있습니다.",80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,35,33,9,7,2,2,0.9428571428571428,0.891469781461723,0.10853021853827705,0.6821759016420355,0.46589757508722346,0.040421720838608385,23.739174365997314,0.8914702466641344,0.6821759016420355,0.46589757508722346,0.47021746221184596,26.941476038091047,0.8503251331217164
difficulty_4_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,동업자가 채권의 준점유자에 해당하지 않는 이유는 무엇인가요?,원본 답변 정보 없음,4,민사,ADVANCED,법리 해석,이 질문은 동업자가 채권의 준점유자로 인정되지 않는 이유를 이해하는 데 중점을 둡니다. 이를 통해 학생들은 동업 관계와 채권의 준점유자 개념의 차이를 명확히 이해할 수 있습니다.,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,35,33,9,7,2,2,0.9428571428571428,0.9417139259456101,0.0582860740543899,0.7454749358170553,0.341426722689181,0.05476647301384061,17.25934636592865,0.9417144004031357,0.7454749358170553,0.341426722689181,0.34310713804728676,19.658590930922042,0.890785605939322
difficulty_5_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,"동업자가 채권의 준점유자로 인정되지 않는 경우, 변제의 효력에 어떤 영향을 미칠 수 있는가?",원본 답변 정보 없음,5,민사,ADVANCED,법리 해석,"이 질문은 동업자가 채권의 준점유자로 인정되지 않을 때 변제의 효력에 미치는 영향을 이해하는 데 중점을 둡니다. 특히, 채권의 준점유자와 표현수령권자의 개념을 이해하고, 변제의 효력에 대한 법적 판단을 분석하는 능력을 기르기 위한 것입니다.",80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,35,51,9,13,16,4,1.457142857142857,0.8269582023291088,0.17304179767089123,0.6296066327443953,0.5882933056805568,0.03249204562763375,29.776763379573822,0.826971148867699,0.6296066327443953,0.5882933056805568,0.5971202806984528,34.21247194568838,0.8099307114128423
difficulty_6_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,"동업자가 채권의 준점유자에 해당하지 않는 경우, 변제의 효력은 어떻게 판단될 수 있을까요?",원본 답변 정보 없음,6,민사,INTERMEDIATE,법리 해석,"이 질문은 동업자가 채권의 준점유자로 인정되지 않을 때, 변제의 효력에 어떤 영향을 미치는지를 이해하는 데 목적이 있습니다. 이를 통해 채권의 준점유자와 변제의 효력 간의 관계를 파악하고, 법적 책임의 범위를 명확히 할 수 있습니다.",80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,35,50,9,12,15,3,1.4285714285714286,0.8878155363493891,0.11218446365061086,0.678574980709456,0.4736764962281565,0.03999377309475379,24.003892421722412,0.8878174977571618,0.678574980709456,0.4736764962281565,0.4782198864651633,27.399981173679258,0.8477778823684485
difficulty_7_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,동업자가 채권의 준점유자에 해당하지 않는 이유는 무엇인가요?,원본 답변 정보 없음,7,민사,INTERMEDIATE,법리 해석,"이 질문은 동업자가 채권의 준점유자로 인정되지 않는 이유를 이해하는 데 중점을 둡니다. 이를 통해 학생들은 동업 관계와 채권의 준점유자 개념의 차이를 이해하고, 법적 책임과 권한의 범위를 명확히 할 수 있습니다.",80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,35,33,9,7,2,2,0.9428571428571428,0.9417325864500896,0.058267413549910385,0.7455049083929043,0.34137279143569216,0.05477163923881911,17.257624089717865,0.9417370761982085,0.7455049083929043,0.34137279143569216,0.3430516649931743,19.655412559044695,0.8908032635608628
difficulty_8_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,왜 피고는 원고에게 채권변제의 수령권한이 있는지 확인해야 했을까요?,원본 답변 정보 없음,8,민사,INTRODUCTORY,사실관계 이해,이 질문은 피고가 원고에게 채권변제의 수령권한이 있는지 확인하지 않은 것이 왜 문제인지 이해하도록 돕기 위해 출제되었습니다. 이를 통해 학생들은 법적 책임과 주의 의무에 대해 배울 수 있습니다.,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,35,37,9,8,2,1,1.0571428571428572,0.5059407019034472,0.4940592980965528,0.5014929779267714,0.9940458670709865,0.019573594985610298,50.08923530578613,0.5059451000069046,0.5014929779267714,0.9940458670709865,1.040324127287443,59.606181819201126,0.6688545454488826
difficulty_9_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,왜 친구가 대신 돈을 받을 수 없었을까요?,원본 답변 정보 없음,9,민사,INTRODUCTORY,사실관계 이해,이 질문은 친구가 대신 돈을 받을 수 없는 이유를 이해하도록 돕기 위한 것입니다. 친구가 대신 돈을 받을 수 있는 권한이 없었기 때문에 변제가 유효하지 않았다는 점을 이해하는 것이 중요합니다.,80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,35,23,9,7,12,2,0.6571428571428571,0.4000970801556336,0.5999029198443664,0.47724645083874384,1.0953534557303362,0.017859833549324678,54.99156326055527,0.400094863575724,0.47724645083874384,1.0953534557303362,1.159173555145025,66.41575243298513,0.6310235975945271
difficulty_10_doc_0,동업자가 채권의 준점유자에 해당하지 아니 한다고 할 수 있는가?,"사람들이 함께 일을 할 때, 서로의 역할을 잘 알아야 할까요?",원본 답변 정보 없음,10,민사,INTRODUCTORY,사실관계 이해,"이 질문은 동업 관계에서 각자의 역할과 책임을 이해하는 것이 왜 중요한지를 생각해보게 합니다. 특히, 법적 책임이 따르는 상황에서 역할을 명확히 하는 것이 중요하다는 것을 배우게 됩니다.",80다3135,대법원,1982-11-09,소유권이전등기,민법 제470조,35,34,9,10,1,1,0.9714285714285714,0.3425049466615657,0.6574950533384343,0.46582365079775473,1.1467351395478351,0.017071991000806655,57.57547605037689,0.3425079090464749,0.46582365079775473,1.1467351395478351,1.2212145109909223,69.97043735991254,0.611275348000486
